Datenum RHTd Global Event NonEvent
729057 NaN 81.0006666666666 0 1
729059 NaN 65.03 1 0
729060 NaN 84.199375 0 1
729061 NaN 66.175 0 1
729065 NaN 45.1129411764706 0 1
729071 NaN 36.635 0 1
729073 NaN 156.113888888889 1 0
729076 NaN 163.886315789474 1 0
729077 NaN 45.5905263157895 0 1
729078 NaN 47.1715789473684 0 1
729080 NaN 26.9747368421053 0 1
729082 NaN 17.7745 0 1
729083 NaN 42.862 0 1
729086 NaN 90.6025 0 1
729088 NaN 61.8033333333333 0 1
729089 NaN 113.48380952381 1 0
729092 NaN 222.756363636364 1 0
729093 NaN 232.965454545455 1 0
729095 NaN NaN 1 0
729096 NaN NaN 1 0
729097 NaN NaN 1 0
729099 NaN NaN 0 1
729100 NaN NaN 0 1
729108 NaN NaN 1 0
729109 NaN NaN 1 0
729112 NaN NaN 1 0
729114 NaN NaN 0 1
729115 NaN NaN 0 1
729116 NaN NaN 0 1
729117 NaN NaN 0 1
729121 NaN NaN 1 0
729123 NaN NaN 1 0
729125 NaN NaN 1 0
729127 NaN NaN 1 0
729128 NaN NaN 1 0
729129 NaN NaN 1 0
729130 NaN NaN 1 0
729133 NaN NaN 0 1
729136 NaN NaN 1 0
729137 NaN NaN 1 0
729142 NaN NaN 0 1
729145 NaN NaN 0 1
729146 NaN NaN 0 1
729149 NaN NaN 0 1
729153 NaN NaN 1 0
729158 NaN NaN 1 0
729159 NaN NaN 0 1
729161 NaN NaN 0 1
729162 NaN NaN 0 1
729164 NaN NaN 1 0
729165 NaN NaN 1 0
729167 NaN NaN 1 0
729170 NaN NaN 0 1
729171 NaN NaN 0 1
729173 NaN NaN 1 0
729181 NaN NaN 0 1
729183 NaN NaN 1 0
729184 NaN NaN 1 0
729185 NaN NaN 1 0
729186 NaN NaN 1 0
729188 NaN NaN 0 1
729190 NaN NaN 0 1
729193 NaN NaN 1 0
729195 NaN NaN 0 1
729198 NaN NaN 0 1
729202 NaN NaN 0 1
729203 NaN NaN 0 1
729204 NaN NaN 0 1
729211 NaN NaN 0 1
729212 NaN NaN 0 1
729218 NaN NaN 0 1
729226 NaN NaN 1 0
729228 NaN NaN 0 1
729230 NaN NaN 0 1
729240 NaN NaN 1 0
729264 NaN 235.756428571429 0 1
729273 NaN 223.017307692308 1 0
729275 NaN 72.9303703703704 0 1
729287 NaN 295.3636 1 0
729288 NaN 293.036956521739 1 0
729294 NaN 84.9639130434783 0 1
729309 NaN 209.9725 1 0
729311 NaN 193.853333333333 1 0
729313 NaN 67.7057894736842 0 1
729314 NaN 176.839473684211 1 0
729315 NaN 142.601052631579 1 0
729317 NaN 20.9394444444444 0 1
729318 NaN 20.6183333333333 0 1
729319 NaN 21.9972222222222 0 1
729320 NaN 27.8755555555556 0 1
729321 NaN 67.6472222222222 0 1
729326 NaN 12.9252941176471 0 1
729327 NaN 12.8 0 1
729328 NaN NaN 0 1
729330 NaN 38.99125 0 1
729332 NaN NaN 0 1
729334 NaN 16.9713333333333 0 1
729339 NaN 17.9371428571429 0 1
729341 NaN 92.2742857142857 0 1
729342 NaN 10.7464285714286 0 1
729347 NaN 12.79 0 1
729348 NaN 8.24384615384615 0 1
729350 NaN 7.18846153846154 0 1
729354 NaN 18.9008333333333 0 1
729355 NaN 13.145 0 1
729356 NaN 10.7233333333333 0 1
729357 NaN 12.4136363636364 0 1
