Year,Month,Day,Hour,Minute,Second,HYY_EDDY233.ET_gapf
2016,1,1,0,0,0,0.102
2016,1,1,0,30,0,0.035
2016,1,1,1,0,0,-0.042
2016,1,1,1,30,0,0.043
2016,1,1,2,0,0,0.027
2016,1,1,2,30,0,0.077
2016,1,1,3,0,0,0.121
2016,1,1,3,30,0,0.055
2016,1,1,4,0,0,0.165
2016,1,1,4,30,0,0.141
2016,1,1,5,0,0,0.129
2016,1,1,5,30,0,0.12
2016,1,1,6,0,0,0.089
2016,1,1,6,30,0,0.111
2016,1,1,7,0,0,0.124
2016,1,1,7,30,0,0.032
2016,1,1,8,0,0,0.056
2016,1,1,8,30,0,0.035
2016,1,1,9,0,0,0.073
2016,1,1,9,30,0,0.186
2016,1,1,10,0,0,0.095
2016,1,1,10,30,0,0.112
2016,1,1,11,0,0,0.035
2016,1,1,11,30,0,0.101
2016,1,1,12,0,0,0.075
2016,1,1,12,30,0,0.11
2016,1,1,13,0,0,0.08
2016,1,1,13,30,0,0.11
2016,1,1,14,0,0,0.037
2016,1,1,14,30,0,0.184
2016,1,1,15,0,0,0.004
2016,1,1,15,30,0,0.139
2016,1,1,16,0,0,0.003
2016,1,1,16,30,0,0.005
2016,1,1,17,0,0,0.032
2016,1,1,17,30,0,-0.101
2016,1,1,18,0,0,-0.086
2016,1,1,18,30,0,-0.027
2016,1,1,19,0,0,-0.089
2016,1,1,19,30,0,-0.132
2016,1,1,20,0,0,-0.126
2016,1,1,20,30,0,-0.181
2016,1,1,21,0,0,-0.195
2016,1,1,21,30,0,-0.197
2016,1,1,22,0,0,-0.15
2016,1,1,22,30,0,-0.136
2016,1,1,23,0,0,-0.209
2016,1,1,23,30,0,-0.179
2016,1,2,0,0,0,-0.144
2016,1,2,0,30,0,-0.201
2016,1,2,1,0,0,-0.041
2016,1,2,1,30,0,-0.037
2016,1,2,2,0,0,-0.033
2016,1,2,2,30,0,-0.031
2016,1,2,3,0,0,-0.03
2016,1,2,3,30,0,-0.027
2016,1,2,4,0,0,-0.023
2016,1,2,4,30,0,-0.016
2016,1,2,5,0,0,-0.014
2016,1,2,5,30,0,-0.014
2016,1,2,6,0,0,-0.015
2016,1,2,6,30,0,-0.014
2016,1,2,7,0,0,-0.009
2016,1,2,7,30,0,-0.012
2016,1,2,8,0,0,-0.011
2016,1,2,8,30,0,-0.003
2016,1,2,9,0,0,0.005
2016,1,2,9,30,0,0.011
2016,1,2,10,0,0,0.026
2016,1,2,10,30,0,0.052
2016,1,2,11,0,0,0.066
2016,1,2,11,30,0,0.082
2016,1,2,12,0,0,0.086
2016,1,2,12,30,0,0.075
2016,1,2,13,0,0,0.065
2016,1,2,13,30,0,0.052
2016,1,2,14,0,0,0.043
2016,1,2,14,30,0,0.029
2016,1,2,15,0,0,0.007
2016,1,2,15,30,0,0.011
2016,1,2,16,0,0,0.014
2016,1,2,16,30,0,0.003
2016,1,2,17,0,0,-0.002
2016,1,2,17,30,0,0.009
2016,1,2,18,0,0,0.011
2016,1,2,18,30,0,0.027
2016,1,2,19,0,0,0.036
2016,1,2,19,30,0,0.038
2016,1,2,20,0,0,0.055
2016,1,2,20,30,0,0.052
2016,1,2,21,0,0,0.058
2016,1,2,21,30,0,0.049
2016,1,2,22,0,0,0.057
2016,1,2,22,30,0,0.053
