Year,Month,Day,Hour,Minute,Second,HYY_META.T168
2016,1,1,0,0,0,-6.5276666
2016,1,1,0,30,0,-6.5203333
2016,1,1,1,0,0,-6.5946665
2016,1,1,1,30,0,-6.5516667
2016,1,1,2,0,0,-6.366
2016,1,1,2,30,0,-6.122
2016,1,1,3,0,0,-5.836
2016,1,1,3,30,0,-5.654
2016,1,1,4,0,0,-5.618
2016,1,1,4,30,0,-5.5383334
2016,1,1,5,0,0,-5.491667
2016,1,1,5,30,0,-5.4926667
2016,1,1,6,0,0,-5.3783336
2016,1,1,6,30,0,-5.3226666
2016,1,1,7,0,0,-5.2776666
2016,1,1,7,30,0,-5.223
2016,1,1,8,0,0,-5.29
2016,1,1,8,30,0,-5.43
2016,1,1,9,0,0,-5.805333
2016,1,1,9,30,0,-5.954
2016,1,1,10,0,0,-5.964667
2016,1,1,10,30,0,-5.9643335
2016,1,1,11,0,0,-6.034
2016,1,1,11,30,0,-6.1966667
2016,1,1,12,0,0,-6.292
2016,1,1,12,30,0,-6.459
2016,1,1,13,0,0,-6.583667
2016,1,1,13,30,0,-6.6716666
2016,1,1,14,0,0,-6.7556667
2016,1,1,14,30,0,-6.7473335
2016,1,1,15,0,0,-6.951667
2016,1,1,15,30,0,-7.261
2016,1,1,16,0,0,-7.894
2016,1,1,16,30,0,-8.564
2016,1,1,17,0,0,-8.981334
2016,1,1,17,30,0,-9.389
2016,1,1,18,0,0,-9.733334
2016,1,1,18,30,0,-10.104667
2016,1,1,19,0,0,-10.244667
2016,1,1,19,30,0,-10.564333
2016,1,1,20,0,0,-10.907666
2016,1,1,20,30,0,-11.163
2016,1,1,21,0,0,-11.508
2016,1,1,21,30,0,-11.732333
2016,1,1,22,0,0,-11.953667
2016,1,1,22,30,0,-12.209333
2016,1,1,23,0,0,-12.497
2016,1,1,23,30,0,-12.644667
2016,1,2,0,0,0,-12.567333
2016,1,2,0,30,0,-12.592
2016,1,2,1,0,0,-12.760333
2016,1,2,1,30,0,-12.814
2016,1,2,2,0,0,-12.985666
2016,1,2,2,30,0,-13.124
2016,1,2,3,0,0,-13.244
2016,1,2,3,30,0,-13.287666
2016,1,2,4,0,0,-13.101
2016,1,2,4,30,0,-13.369333
2016,1,2,5,0,0,-12.888333
2016,1,2,5,30,0,-12.539333
2016,1,2,6,0,0,-12.443
2016,1,2,6,30,0,-12.342
2016,1,2,7,0,0,-12.485
2016,1,2,7,30,0,-12.644
2016,1,2,8,0,0,-12.684334
2016,1,2,8,30,0,-12.831667
2016,1,2,9,0,0,-12.888667
2016,1,2,9,30,0,-13.034333
2016,1,2,10,0,0,-12.838333
2016,1,2,10,30,0,-12.680333
2016,1,2,11,0,0,-12.7
2016,1,2,11,30,0,-12.512333
2016,1,2,12,0,0,-12.406667
2016,1,2,12,30,0,-12.211
2016,1,2,13,0,0,-12.1293335
2016,1,2,13,30,0,-12.015333
2016,1,2,14,0,0,-12.125334
2016,1,2,14,30,0,-12.336333
2016,1,2,15,0,0,-12.835
2016,1,2,15,30,0,-13.165667
2016,1,2,16,0,0,-13.491667
2016,1,2,16,30,0,-13.309
2016,1,2,17,0,0,-13.203333
2016,1,2,17,30,0,-13.291667
2016,1,2,18,0,0,-13.437333
2016,1,2,18,30,0,-13.446667
2016,1,2,19,0,0,-13.205667
2016,1,2,19,30,0,-13.534667
2016,1,2,20,0,0,-13.966666
2016,1,2,20,30,0,-14.115334
2016,1,2,21,0,0,-14.225333
2016,1,2,21,30,0,-14.118
2016,1,2,22,0,0,-13.839
2016,1,2,22,30,0,-13.796667
2016,1,2,23,0,0,-13.847
2016,1,2,23,30,0,-13.900333
2016,1,3,0,0,0,-13.933333
2016,1,3,0,30,0,-13.726
2016,1,3,1,0,0,-13.572333
2016,1,3,1,30,0,-13.993
2016,1,3,2,0,0,-14.319
2016,1,3,2,30,0,-14.168333
2016,1,3,3,0,0,-13.873333
2016,1,3,3,30,0,-13.276334
2016,1,3,4,0,0,-12.895667
2016,1,3,4,30,0,-12.569333
2016,1,3,5,0,0,-12.169666
2016,1,3,5,30,0,-11.9366665
2016,1,3,6,0,0,-11.823334
2016,1,3,6,30,0,-11.709333
2016,1,3,7,0,0,-11.579667
2016,1,3,7,30,0,-11.336333
2016,1,3,8,0,0,-11.139
2016,1,3,8,30,0,-10.867666
2016,1,3,9,0,0,-10.569667
2016,1,3,9,30,0,-10.043333
2016,1,3,10,0,0,-9.472333
2016,1,3,10,30,0,-8.976666
2016,1,3,11,0,0,-9.19
2016,1,3,11,30,0,-9.19
2016,1,3,12,0,0,-9.057
2016,1,3,12,30,0,-8.937667
2016,1,3,13,0,0,-8.858666
2016,1,3,13,30,0,-8.76
2016,1,3,14,0,0,-8.676333
2016,1,3,14,30,0,-8.659333
2016,1,3,15,0,0,-8.7
2016,1,3,15,30,0,-8.712334
2016,1,3,16,0,0,-8.704333
2016,1,3,16,30,0,-8.656333
2016,1,3,17,0,0,-8.706667
2016,1,3,17,30,0,-8.708667
2016,1,3,18,0,0,-8.956
2016,1,3,18,30,0,-9.288667
2016,1,3,19,0,0,-9.467667
2016,1,3,19,30,0,-9.608666
2016,1,3,20,0,0,-9.807667
